,pc1,pc2,sample_id,category
0,-0.16782389558407285,-0.6226738486905207,a1,healthy
1,-0.6819508342002137,-0.44486938632490763,a2,healthy
2,-0.342321362431202,-0.5525135116610628,a3,healthy
3,-0.3918726100186423,-0.2921825056899463,a4,healthy
4,-0.3855659169634567,-0.6898082165662299,a5,healthy
5,-0.3503403507772245,-0.10966958829799567,a6,healthy
6,-0.3409829879533251,-0.35563254826694257,a7,healthy
7,-0.6517864086593302,-0.5805861286240457,a8,healthy
8,-0.49290612410463414,-0.14580074520486408,a9,healthy
9,-0.6984685292727657,-0.47942350424826463,a10,healthy
10,-0.5422502332497705,-0.6079633012053456,a11,healthy
11,-0.1940740206873488,-0.26555017864385394,a12,healthy
12,-0.38997821412092,0.2452906407906889,a13,athlete
13,-0.28160528989015254,0.19693908374788516,a14,athlete
14,-0.2577256712863746,0.023217813210028804,a15,athlete
15,-0.4129537533762091,-0.01758254481904975,a16,athlete
16,-0.15568264026196565,0.2590182997772535,a17,athlete
17,-0.4023006343341091,-0.24109301128476016,a18,athlete
18,-0.10545476970154988,-0.17704553622395114,a19,athlete
19,-0.4336107067938575,0.22466524465799637,a20,athlete
20,-0.1158772655212455,0.17385749581086252,a21,athlete
21,0.7777034884196066,0.5462022771597213,a22,diabetes
22,0.7776577124579325,0.6383753128543597,a23,diabetes
23,0.8488764552591359,0.6702324240877555,a24,diabetes
24,0.6672517410172527,0.6384314395808267,a25,diabetes
25,0.6679343789149661,0.6075980111139158,a25,diabetes
26,0.8890216083219378,0.5516768728667121,a26,diabetes
27,0.7718422014012121,0.5542808773964949,a27,diabetes
28,0.5327209001433284,0.5932712817391728,a28,diabetes
29,0.5407781418802028,0.7257101823324399,a29,diabetes
30,0.3073602123448607,-0.4942087941843968,a30,protein in urine
31,0.47166348360534344,-0.5719566077017759,a31,protein in urine
32,0.7651478200050748,-0.4868500671432413,a32,protein in urine
33,0.45150160964447505,-0.7293912256190077,a33,protein in urine
34,0.5464911112175416,-0.5498579449943701,a34,protein in urine
35,0.43520905809545757,-0.7184356312465502,a35,protein in urine
36,0.3555758311027003,-0.485708061635082,a36,protein in urine
37,0.3381524370788291,-0.4466400383490086,a37,protein in urine
